,County,2015,2016,2017,2018,2019,Average
0,Alachua,43073,44702,45478,49078,49689,46404
1,Baker,47121,53327,59506,61769,63275,56999.6
2,Bay,47368,48577,50283,51829,54316,50474.6
3,Bradford,41606,43373,46106,46197,45921,44640.6
4,Brevard,48925,49914,51536,54359,56775,52301.8
5,Broward,51968,52954,54895,57333,59547,55339.4
6,Calhoun,34510,37089,36237,38609,38568,37002.6
7,Charlotte,44244,44865,46511,49225,51499,47268.8
8,Citrus,38312,39054,40574,41424,44237,40720.2
9,Clay,58290,59179,61971,62653,65740,61566.6
10,Collier,57452,59783,62407,65675,69653,62994
11,Columbia,41926,42848,43504,44491,46494,43852.6
12,Miami-Dade,43129,44224,46338,48982,51347,46804
13,DeSoto,35165,35513,35435,35057,35438,35321.6
14,Dixie,36292,34634,35910,38237,39828,36980.2
15,Duval,47690,49196,51296,53473,55807,51492.4
16,Escambia,45390,46117,47361,49286,50915,47813.8
17,Flagler,47866,48898,51049,53872,54514,51239.8
18,Franklin,40401,40301,41267,42855,46643,42293.4
19,Gadsden,35567,38533,39830,40922,41401,39250.6
20,Gilchrist,40623,40881,42934,42357,43640,42087
21,Glades,34877,34143,37385,39879,40977,37452.2
22,Gulf,41788,40822,44647,44291,47712,43852
23,Hamilton,35048,38980,36209,34583,38569,36677.8
24,Hardee,35457,36222,39063,37594,38682,37403.6
25,Hendry,36771,37552,37966,40728,40820,38767.4
26,Hernando,40945,42274,44324,46030,48812,44477
27,Highlands,35093,35865,36374,37314,40942,37117.6
28,Hillsborough,50579,51681,53742,56137,58884,54204.6
29,Holmes,35020,37437,37474,38608,39102,37528.2
30,Indian River,45798,47446,49009,52336,54740,49865.8
31,Jackson,35098,35470,36944,39002,39872,37277.2
32,Jefferson,43355,41696,47599,48173,47240,45612.6
33,Lafayette,35864,36236,41512,39543,50165,40664
34,Lake,46403,47141,49734,51884,54513,49935
35,Lee,48537,50390,52052,54691,57832,52700.4
36,Leon,46745,48248,49941,51201,53106,49848.2
37,Levy,35782,35480,36554,37634,37326,36555.2
38,Liberty,39406,37917,36741,37363,38015,37888.4
39,Madison,32164,29806,31816,35509,37037,33266.4
40,Manatee,49675,51483,53408,56036,59009,53922.2
41,Marion,39459,40295,41964,43361,45371,42090
42,Martin,51593,52622,55588,57959,61133,55779
43,Monroe,57290,60303,63030,67023,70033,63535.8
44,Nassau,54116,59196,64294,66297,69943,62769.2
45,Okaloosa,55880,57655,59955,62048,63412,59790
46,Okeechobee,35405,36415,39059,40367,41760,38601.2
47,Orange,47943,49391,51586,54335,58254,52301.8
48,Osceola,44254,45536,47343,50063,52279,47895
49,Palm Beach,53363,55277,57256,59943,63299,57827.6
50,Pasco,45064,46010,48289,50417,52828,48521.6
51,Pinellas,45819,47090,48968,51454,54090,49484.2
52,Polk,43162,44146,45988,48500,50584,46476
53,Putnam,31715,33003,33619,35649,37670,34331.2
54,St. Johns,66194,69523,73640,77323,82252,73786.4
55,St. Lucie,43459,44140,47132,49373,52322,47285.2
56,Santa Rosa,58923,60652,62731,66242,67949,63299.4
57,Sarasota,51766,52796,55236,58644,62236,56135.6
58,Seminole,57010,58538,60739,63760,66768,61363
59,Sumter,50350,52594,54771,55228,57226,54033.8
60,Suwannee,36289,37796,40600,42686,47839,41042
61,Taylor,36181,36195,37188,36934,40306,37360.8
62,Union,39163,37778,37460,41770,44270,40088.2
63,Volusia,41117,42240,43838,46760,49494,44689.8
64,Wakulla,50340,54078,57866,62778,61410,57294.4
65,Walton,44966,46910,50619,53785,58093,50874.6
66,Washington,38970,38330,36989,37188,37022,37699.8
